Date,How Much Did I Spend Today?,High,Low,Close,Adj Close,Volume,PercentChange
9/3/1993,46.3125,46.4375,46.25,46.375,28.955261,630500,0.000675388
9/7/1993,46.375,46.4375,46,46.0625,28.760162,196400,-0.006738544
9/8/1993,46.0625,46.0625,45.5937,45.9062,28.66255,269900,-0.003393216
9/9/1993,45.7187,46.0312,45.7187,46,28.721136,239200,0.002043297
9/10/1993,46.125,46.4375,46.0625,46.4062,28.974752,106500,0.008830435
9/13/1993,46.5625,46.5625,46.4375,46.4375,28.994293,66900,0.000674479
9/14/1993,46.3125,46.3125,46.0937,46.25,28.877224,184500,-0.004037685
9/15/1993,46.0625,46.4062,45.9062,46.375,28.955261,101000,0.002702703
9/16/1993,46.3125,46.3437,46.1562,46.1875,28.838198,54300,-0.004043127
9/17/1993,45.875,45.9062,45.75,45.8125,28.78227,200900,-0.00811908
9/20/1993,45.875,45.9687,45.4375,45.4375,28.546715,57800,-0.008185539
9/21/1993,45.5,45.5625,44.8125,45.2812,28.448492,318200,-0.00343989
9/22/1993,45.4375,45.7187,45.375,45.6562,28.684088,439700,0.008281583
9/23/1993,45.7812,45.9375,45.7187,45.9062,28.841148,88500,0.005475708
9/24/1993,45.8437,45.875,45.7187,45.7812,28.762623,53500,-0.002722944
9/27/1993,46.125,46.2812,46.125,46.2812,29.07674,274600,0.010921514
9/28/1993,46.3125,46.3125,46.1562,46.1875,29.017881,158300,-0.00202458
9/29/1993,46.1875,46.3125,45.9687,46.0312,28.91968,221000,-0.003384032
9/30/1993,46.0312,46.125,45.8437,45.9375,28.860821,99300,-0.002035576
10/1/1993,45.875,46.2187,45.8125,46.1562,28.998224,22700,0.004760816
10/4/1993,46.2187,46.2187,46.0937,46.2187,29.0375,1038500,0.001354098
10/5/1993,46.3125,46.3125,46,46.1562,28.998224,436500,-0.001352267
10/6/1993,46.1875,46.375,46.125,46.125,28.978619,209200,-0.000675966
10/7/1993,46.1875,46.1875,45.9687,46,28.900085,59400,-0.002710027
10/8/1993,46.125,46.1562,45.7187,46.0625,28.939337,54400,0.001358696
10/11/1993,46.1562,46.25,46.1562,46.1562,28.998224,467100,0.002034193
10/12/1993,46.2187,46.25,46.1875,46.2187,29.0375,26200,0.001354098
10/13/1993,46.25,46.25,46.1562,46.2187,29.0375,139100,0
10/14/1993,46.4062,46.8125,46.2812,46.8125,29.410547,108100,0.012847614
10/15/1993,47.0312,47.1562,46.9062,47.0625,29.567617,1502500,0.005340454
10/18/1993,47.0312,47.0312,46.875,46.9375,29.489067,722400,-0.002656042
10/19/1993,46.875,46.9687,46.5937,46.5937,29.273073,880100,-0.007324634
10/20/1993,46.75,46.75,46.5625,46.6562,29.312355,230400,0.001341383
10/21/1993,46.6875,46.6875,46.5312,46.5937,29.273073,56200,-0.001339586
10/22/1993,46.6562,46.8437,46.375,46.375,29.135691,390700,-0.004693768
10/25/1993,46.4062,46.5625,46.2812,46.5,29.214203,114500,0.002695418
10/26/1993,46.4687,46.5,46.3125,46.4687,29.194553,186200,-0.000673118
10/27/1993,46.4062,46.5312,46.4062,46.5,29.214203,118400,0.000673572
10/28/1993,46.5625,46.9687,46.5625,46.8437,29.430145,129600,0.007391398
10/29/1993,46.8125,46.875,46.7812,46.8437,29.430145,80700,0
11/1/1993,46.7812,47,46.7812,46.9687,29.50868,36400,0.002668448
11/2/1993,46.9062,47,46.6562,46.9375,29.489067,262100,-0.000664272
11/3/1993,46.9062,46.9062,46.125,46.3437,29.116026,479100,-0.012650866
11/4/1993,46.3437,46.3437,45.8125,45.8437,28.801886,130400,-0.010788953
11/5/1993,45.7187,46.0625,45.5312,46.0625,28.939337,363200,0.004772739
11/8/1993,46.0937,46.25,45.9687,46.125,28.978619,367600,0.001356852
11/9/1993,46.4375,46.4687,46.125,46.1562,28.998224,246900,0.000676423
11/10/1993,46.1562,46.5,46.0312,46.5,29.214203,46500,0.00744862
11/11/1993,46.5,46.625,46.3437,46.375,29.135691,88900,-0.002688172
11/12/1993,46.4687,46.75,46.4375,46.5937,29.273073,108200,0.004715903
11/15/1993,46.6875,46.6875,46.4375,46.5625,29.253477,243300,-0.000669618
11/16/1993,46.6562,46.8125,46.4687,46.7812,29.390884,492600,0.004696913
11/17/1993,46.8125,46.8125,46.4062,46.5312,29.233818,39600,-0.005344027
11/18/1993,46.4687,46.5625,46.2812,46.4062,29.155275,240800,-0.00268637
11/19/1993,46.25,46.375,46.2187,46.3125,29.096415,106000,-0.002019127
11/22/1993,46.1875,46.2187,45.875,46.0312,28.91968,165300,-0.006073954
11/23/1993,46.2812,46.3125,46.0312,46.2812,29.07674,89700,0.005431099
11/24/1993,46.4062,46.5,46.3437,46.4687,29.194553,77200,0.004051321
11/26/1993,46.5937,46.5937,46.4687,46.5,29.214203,1019800,0.000673572
11/29/1993,46.625,46.7187,46.3125,46.3125,29.096415,517500,-0.004032258
11/30/1993,46.2812,46.5625,46.25,46.3437,29.116026,230000,0.000673684
12/1/1993,46.5937,46.625,46.4062,46.4062,29.155275,379200,0.001348619
12/2/1993,46.5,46.5625,46.4062,46.5312,29.233818,352000,0.002693606
12/3/1993,46.5,46.7187,46.5,46.7187,29.351618,306000,0.004029554
12/6/1993,46.7812,46.9375,46.7812,46.875,29.44981,99500,0.003345555
12/7/1993,46.875,46.9062,46.7812,46.8437,29.430145,88800,-0.000667733
12/8/1993,46.8437,46.8437,46.7812,46.8437,29.430145,146700,0
12/9/1993,46.8437,46.9062,46.625,46.6875,29.332024,416500,-0.003334493
12/10/1993,46.7187,46.7187,46.5,46.5937,29.273073,412900,-0.002009103
12/13/1993,46.5937,46.875,46.5312,46.875,29.44981,273200,0.006037297
12/14/1993,46.9062,46.9062,46.5312,46.5312,29.233818,41900,-0.0073344
12/15/1993,46.5937,46.625,46.4687,46.4687,29.194553,82600,-0.001343185
12/16/1993,46.6562,46.6562,46.5625,46.625,29.292753,78200,0.003363554
12/17/1993,46.4062,46.5937,46.375,46.5625,29.453724,104700,-0.001340483
12/20/1993,46.5312,46.6562,46.5,46.625,29.493286,68800,0.001342282
12/21/1993,46.5625,46.5625,46.4062,46.4687,29.394398,205700,-0.003352279
12/22/1993,46.5937,46.8125,46.5,46.7812,29.592077,410300,0.006724957
12/23/1993,46.75,46.8437,46.6875,46.75,29.572348,533800,-0.000666935
12/27/1993,46.75,47,46.75,47,29.730465,447100,0.005347594
12/28/1993,46.9687,47.125,46.9375,47.0937,29.789743,880600,0.001993617
12/29/1993,47.125,47.1562,47,47.0312,29.750217,266700,-0.001327141
12/30/1993,47,47,46.75,46.8437,29.631594,219900,-0.003986715
12/31/1993,46.9375,47,46.5625,46.5937,29.473475,312900,-0.005336897
1/3/1994,46.5937,46.6562,46.4062,46.4687,29.394398,960900,-0.002682766
1/4/1994,46.5312,46.6562,46.4687,46.6562,29.513,164300,0.004034974
1/5/1994,46.7187,46.7812,46.5312,46.75,29.572348,710900,0.002010451
1/6/1994,46.8125,46.8437,46.6875,46.75,29.572348,201000,0
1/7/1994,46.8437,47.0625,46.7187,47.0312,29.750217,775500,0.006014973
1/10/1994,47.0937,47.5937,46.9687,47.5937,30.106024,593700,0.011960146
1/11/1994,47.5625,47.5625,47.3437,47.5,30.046783,295200,-0.001968748
1/12/1994,47.5312,47.5312,47.1875,47.3437,29.947889,158400,-0.003290526
1/13/1994,47.2187,47.3125,47.1562,47.2187,29.868805,244300,-0.002640267
1/14/1994,47.375,47.5,47.375,47.4062,29.987419,137200,0.003970884
1/17/1994,47.4062,47.4687,47.3125,47.4062,29.987419,17700,0
1/18/1994,47.4687,47.5312,47.375,47.4687,30.026972,166400,0.001318393
1/19/1994,47.4062,47.4687,47.25,47.3437,29.947889,200800,-0.002633314
1/20/1994,47.4062,47.5,47.375,47.4687,30.026972,281100,0.002640267
1/21/1994,47.5312,47.5312,47.3437,47.375,29.96769,85600,-0.001973932
1/24/1994,47.3437,47.5625,47.1875,47.1875,29.849075,373800,-0.003957784
1/25/1994,47.2187,47.25,47.0937,47.1875,29.849075,310400,0
1/26/1994,47.1875,47.3437,47.125,47.3125,29.92816,145100,0.002649007
1/27/1994,47.4062,47.8125,47.3437,47.75,30.204918,344500,0.009247028
1/28/1994,47.9375,48.0312,47.875,47.875,30.283987,356500,0.002617801
1/31/1994,48.0625,48.3125,48,48.2187,30.501394,313800,0.007179112
2/1/1994,48.1562,48.1562,47.9062,47.9687,30.343262,303600,-0.00518471
2/2/1994,48.125,48.2812,48.0937,48.2812,30.540926,307600,0.006514665
2/3/1994,48.1875,48.1875,47.9062,48.0625,30.402578,466100,-0.004529713
2/4/1994,48.0625,48.125,46.9687,46.9687,29.710686,1403200,-0.022757867
2/7/1994,46.8437,47.3125,46.8437,47.1875,29.849075,516400,0.004658421
2/8/1994,47.2812,47.2812,47.0312,47.2187,29.868805,188200,0.000661192
2/9/1994,47.25,47.4375,47.1875,47.4062,29.987419,144600,0.003970884
2/10/1994,47.375,47.4062,47,47,29.730465,883900,-0.008568499
2/11/1994,47.0312,47.2812,46.8125,47.1562,29.829283,519400,0.003323404
2/14/1994,47.0625,47.375,47,47.2187,29.868805,2742100,0.001325382
2/15/1994,47.3125,47.5,47.25,47.4687,30.026972,374700,0.005294513
2/16/1994,47.5312,47.5312,47.3437,47.4375,30.007225,287600,-0.000657275
2/17/1994,47.6562,47.6875,47.0312,47.1562,29.829283,342400,-0.005929908
2/18/1994,47.1875,47.2187,46.75,46.875,29.651417,313300,-0.005963161
2/22/1994,47,47.3437,47,47.3437,29.947889,154500,0.009998933
2/23/1994,47.4062,47.4375,47.0625,47.2187,29.868805,391700,-0.002640267
2/24/1994,47.0625,47.0625,46.5625,46.5937,29.473475,770800,-0.013236281
2/25/1994,46.6562,46.8125,46.5625,46.8125,29.611874,531300,0.004695914
2/28/1994,46.9375,47.0625,46.8125,46.8125,29.611874,333000,0
3/1/1994,46.8125,46.9062,46.375,46.625,29.493286,423600,-0.00400534
3/2/1994,46.0312,46.6875,45.9062,46.6875,29.532797,581500,0.001340483
3/3/1994,46.625,46.625,46.4375,46.5625,29.453724,223200,-0.002677376
3/4/1994,46.5625,46.8125,46.4062,46.6875,29.532797,595800,0.002684564
3/7/1994,46.8437,47,46.8437,46.9375,29.690958,539800,0.005354752
3/8/1994,46.9687,46.9687,46.6875,46.75,29.572348,880300,-0.003994674
3/9/1994,46.8125,47,46.5937,46.9687,29.710686,2500100,0.004678075
3/10/1994,46.9375,46.9375,46.4375,46.5937,29.473475,207400,-0.00798404
3/11/1994,46.6562,46.9062,46.4062,46.8437,29.631594,576600,0.005365532
3/14/1994,47.0312,47.0312,46.8437,46.9062,29.671152,345900,0.001334224
3/15/1994,47,47.0937,46.8437,46.875,29.651417,748600,-0.000665157
3/16/1994,46.9375,47.25,46.7812,47.25,29.888626,455500,0.008
3/17/1994,47.0937,47.3125,47.0937,47.25,29.888626,133000,0
3/18/1994,46.75,47.0312,46.7187,46.9687,29.882072,365500,-0.005953439
3/21/1994,46.8125,46.9375,46.7187,46.8437,29.802525,324800,-0.002661347
3/22/1994,46.8437,47.0625,46.75,46.9687,29.882072,435700,0.002668448
3/23/1994,46.9375,47.0625,46.9062,46.9375,29.862215,698500,-0.000664272
3/24/1994,46.75,46.8437,46.1562,46.375,29.504349,1200500,-0.011984021
3/25/1994,46.4062,46.5312,45.9375,45.9375,29.226009,100900,-0.009433962
3/28/1994,46,46.0625,45.5937,46,29.26577,1117200,0.001360544
3/29/1994,46,46.0312,45.0937,45.0937,28.689165,338400,-0.019702174
3/30/1994,45.125,45.25,44.4687,44.4687,28.291523,1123900,-0.013860029
3/31/1994,44.4687,44.6875,43.5312,44.5937,28.371059,788800,0.002810966
4/4/1994,43.3437,44.0312,43.3437,43.9062,27.93367,2627300,-0.015416976
4/5/1994,44.3437,44.8125,44.3437,44.8125,28.510275,1179000,0.020641732
4/6/1994,44.875,44.9062,44.5,44.8125,28.510275,516500,0
4/7/1994,44.7812,45.125,44.5312,45.0312,28.649418,666100,0.004880335
4/8/1994,44.9375,44.9375,44.4687,44.6875,28.430738,242400,-0.007632486
4/11/1994,44.8125,45.0625,44.703098,44.875,28.550026,203300,0.004195804
4/12/1994,44.921799,45,44.7187,44.8125,28.510275,1409200,-0.001392758
4/13/1994,44.796799,44.9062,44.25,44.578098,28.361147,364100,-0.005230728
4/14/1994,44.5,44.828098,44.4062,44.5937,28.371059,419900,0.000349993
4/15/1994,44.578098,44.7812,44.515598,44.5937,28.371059,387300,0
4/18/1994,44.640598,44.765598,44.1562,44.296799,28.18218,369100,-0.006657914
4/19/1994,44.25,44.5312,43.984299,44.359299,28.22193,472200,0.001410937
4/20/1994,44.4062,44.515598,44.078098,44.3125,28.192163,508000,-0.001054999
4/21/1994,44.5,44.9687,44.3437,44.9062,28.569872,200300,0.013398025
4/22/1994,45.015598,45.046799,44.734299,44.859299,28.540043,301800,-0.001044421
4/25/1994,44.8437,45.359299,44.8437,45.328098,28.838282,394600,0.010450431
4/26/1994,45.265598,45.3437,45.1875,45.2812,28.808455,399000,-0.001034634
4/28/1994,45.1875,45.25,44.8125,44.953098,28.599728,287000,-0.007245877
4/29/1994,44.875,45.1562,44.8125,45.0937,28.689165,481900,0.003127749
5/2/1994,45.0937,45.7187,44.9375,45.375,28.868137,275000,0.006238122
5/3/1994,45.390598,45.4062,45.0625,45.328098,28.838282,183400,-0.001033653
5/4/1994,45.421799,45.421799,45.078098,45.25,28.78862,401900,-0.001722949
5/5/1994,45.296799,45.375,45.1875,45.1875,28.748842,659800,-0.001381215
5/6/1994,44.9687,44.9687,44.5937,44.75,28.470514,216300,-0.009681881
5/9/1994,44.625,44.75,44.2812,44.359299,28.22193,499300,-0.008730749
5/10/1994,44.578098,44.8437,44.546799,44.703098,28.440659,583400,0.007750325
5/11/1994,44.6562,44.7187,44.171799,44.296799,28.18218,210600,-0.009088833
5/12/1994,44.578098,44.625,44.4062,44.515598,28.321371,305200,0.004939386
5/13/1994,44.640598,44.640598,44.296799,44.515598,28.321371,321300,0
5/16/1994,44.609299,44.75,44.515598,44.5312,28.331308,450400,0.000350484
5/17/1994,44.5625,45.1875,44.5,45.1875,28.748842,470200,0.014737981
5/18/1994,45.2187,45.6875,45.015598,45.515598,28.957598,824800,0.007260813
5/19/1994,45.421799,45.859299,45.421799,45.734299,29.096724,531000,0.004804968
5/20/1994,45.6562,45.6875,45.5,45.5625,28.987436,370400,-0.003756459
5/23/1994,45.515598,45.5312,45.3437,45.484299,28.937668,262700,-0.001716346
5/24/1994,45.609299,45.8437,45.609299,45.671799,29.056961,549600,0.004122302
5/25/1994,45.5,45.828098,45.3437,45.796799,29.136494,738200,0.002736919
5/26/1994,45.7812,45.9375,45.734299,45.828098,29.156403,369600,0.000683432
5/27/1994,45.75,45.875,45.671799,45.875,29.186247,162000,0.001023433
5/31/1994,45.734299,45.9062,45.6562,45.8125,29.146479,160000,-0.001362398
6/1/1994,45.703098,46.015598,45.5625,46.015598,29.275698,200500,0.004433244
6/2/1994,46.046799,46.046799,45.890598,45.9687,29.245848,55100,-0.001019176
6/3/1994,46,46.390598,45.859299,46.234299,29.414822,550400,0.005777823
6/6/1994,46.328098,46.4687,46.1875,46.2187,29.404917,99300,-0.00033739
6/7/1994,46.140598,46.2187,46.0312,46.1562,29.365147,120600,-0.001352267
6/8/1994,46.265598,46.265598,45.7812,45.7812,29.126572,131900,-0.008124586
6/9/1994,45.984299,46.0312,45.890598,46.0312,29.285622,80500,0.005460757
6/10/1994,46.078098,46.203098,46.078098,46.109299,29.335308,83100,0.001696654
6/13/1994,46.046799,46.1875,46.0312,46.171799,29.375072,109700,0.001355475
